node,t,T,H,x,y
4,19,11.44,57.73,19.103957061031494,22.114800000000315
4,20,10.39,59.56,19.103957061031494,22.114800000000315
4,21,11.16,51.74,19.103957061031494,22.114800000000315
4,22,11.4,49.62,19.103957061031494,22.114800000000315
4,23,10.89,53.81,19.103957061031494,22.114800000000315
4,24,11.3,54.22,19.103957061031494,22.114800000000315
4,25,13.49,49.99,19.103957061031494,22.114800000000315
4,26,14.57,52.96,19.103957061031494,22.114800000000315
4,27,16.04,48.21,19.103957061031494,22.114800000000315
4,28,14.67,51.11,19.103957061031494,22.114800000000315
4,29,14.92,51.08,19.103957061031494,22.114800000000315
4,30,14.84,59.66,19.103957061031494,22.114800000000315
4,31,12.94,80.51,19.103957061031494,22.114800000000315
4,32,12.08,62.29,19.103957061031494,22.114800000000315
4,33,12.89,50.79,19.103957061031494,22.114800000000315
4,34,14.06,72.73,19.103957061031494,22.114800000000315
4,35,12.2,70.28,19.103957061031494,22.114800000000315
4,36,10.73,57.86,19.103957061031494,22.114800000000315
4,37,11.47,50.7,19.103957061031494,22.114800000000315
4,38,11.01,50.8,19.103957061031494,22.114800000000315
4,39,13.28,42.71,19.103957061031494,22.114800000000315
4,40,14.85,42.0,19.103957061031494,22.114800000000315
4,41,14.97,46.09,19.103957061031494,22.114800000000315
4,42,16.14,46.38,19.103957061031494,22.114800000000315
